,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0030413104025450548,0.46720634402163297,0.18399110912236039,0.015269468416101752,0.04141926082379749,0.17837573546741514,0.22700721513161223,0.23133419512523978,0.05351651041725172
1,KNN,0.004953885144473945,0.49143537600777737,0.1626268070841051,0.015467246762317269,0.05958378460225103,0.15845232187350164,0.2717797499738533,0.20759998544913705,0.04596048414646567
2,KthNN,0.004230645635887619,0.48553754086082324,0.18564883178075636,0.01551242832882689,0.05417951743421643,0.1832785150883383,0.23163001982727308,0.20357397241952427,0.047498873393905176
3,LOF,0.014314319505250011,0.26976559560186086,0.22782877113557237,0.016890381821616802,0.05050950843033273,0.018618985092912124,0.21809312328919153,0.05503990897715347,0.035496785843347214
4,CBLOF,0.0013816768320305856,0.07356238014618102,0.016246462793351818,0.017436517590489014,0.040163793064996935,0.016327497888294348,0.055396846706713215,0.010282217115785756,0.033556633681831836
5,uCBLOF,0.0037565478606259384,0.6642506789924358,0.13084651648622334,0.01479317256738246,0.0400953389894573,0.5183266648645058,0.19777799225514395,0.16350097283151427,0.05525141661979008
6,LOoP,0.01566126134934163,0.2546823881349348,0.09708666155667597,0.01765402577274238,0.05652166566415632,0.022793674956796347,0.21031433199866767,0.047386196817690504,0.0359227784343891
7,LDCOF,0.004163095636444112,0.4894808733232853,0.11051916064231333,0.015912971019875256,0.04322720360466311,0.299038705644421,0.1372854560556268,0.0377485537540931,0.04099191202234697
8,HBOS,0.002434187650065588,0.44091676671910074,0.1522350078121443,0.0146047436552204,0.03805216483193066,0.03422792508265573,0.14992799136203516,0.08251041550748593,0.045133867186811345
9,OCSVM,0.0030741699882040705,0.4599419532613951,0.15860656348272445,0.015612442752753308,0.03993404761356796,0.4671533315792278,0.23867094816922552,0.21775183518666513,0.05176087740462391
10,Nu-OCSVM,0.003068658926905679,0.4603846612130372,0.16885042744782225,0.015393749872959937,0.041429989247544416,0.5454084035772042,0.24453644071222455,0.21054688288339962,0.05176087740462391
11,RED1,0.0027502274186378102,0.4576942743896813,0.18233905409414242,0.014694338618908245,0.03705234870425433,0.02352524015402094,0.1978317068522298,0.24958076181924183,0.04944074358283097
12,RED2,0.0026387612263589215,0.47998322016497225,0.17829754550765278,0.01458444431252099,0.03667321114469163,0.02834208121069176,0.20628699279455415,0.26397129748894677,0.05253770872963885
