,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7386374000547229,0.909937202183723,0.8909925415949512,0.46416840287553723,0.5221378577416279,0.8633578925027396,0.8111428571428572,0.8658929898981066,0.564904782315841
1,KNN,0.8068586021341926,0.9161854271198208,0.9013195639701664,0.46964449950259957,0.6041580740828031,0.8620420316209179,0.833795918367347,0.8616893339747234,0.5548123201273651
2,KthNN,0.7876143860395829,0.912793082773202,0.9007458405048766,0.4676971300936614,0.5868091172001657,0.8573797386725004,0.8213605442176871,0.860727248873923,0.5572438919845693
3,LOF,0.8850211291156173,0.7670169459433872,0.8795180722891567,0.49334609681476055,0.6291747403477386,0.5176515685994241,0.8134965986394558,0.8142355796562732,0.500047761925173
4,CBLOF,0.4992247590672788,0.28874372810754523,0.20711417096959261,0.5227208739230813,0.5220685172637285,0.2911417045475102,0.4797006802721089,0.34135435343508114,0.47510868899638725
5,uCBLOF,0.7658468367129785,0.9337309476474487,0.8990246701090074,0.46395254988081164,0.5341661499957149,0.9657545963406609,0.8099319727891157,0.8607272488739233,0.5546861796583186
6,LOoP,0.8804912899401088,0.7827637350500174,0.8433734939759037,0.5056450250577171,0.6400742516417415,0.4982062812260577,0.8058775510204081,0.7947806883281585,0.5111860878084624
7,LDCOF,0.7526525400541149,0.8679825807062387,0.8488238668961561,0.48499352441015825,0.5329424321431377,0.9573242200189716,0.7361632653061224,0.7460696637075261,0.522428510195334
8,HBOS,0.6746116194935093,0.8886364353561174,0.8175559380378657,0.44484486739118195,0.5089909254502961,0.6519988371402723,0.7528571428571428,0.7931189049722307,0.5568887392076419
9,OCSVM,0.74705864469644,0.8909400738426583,0.9001721170395869,0.47166694821405114,0.5038951744941758,0.9564724583909476,0.8092789115646258,0.8632855206192329,0.5488739207641908
10,Nu-OCSVM,0.7207916577995319,0.8858910031872258,0.901893287435456,0.46862623646226326,0.5038423914790136,0.9606065725015267,0.8110068027210885,0.8642749376831241,0.5488739207641908
11,RED1,0.7175994892530326,0.9078860172299535,0.900172117039587,0.4539106931696605,0.5057144867392996,0.6391851115226812,0.7955646258503402,0.8687464468447982,0.5645422815504255
12,RED2,0.7064116985376827,0.9132822114929471,0.8691910499139415,0.45154569514049214,0.5048854418864583,0.7012379971804984,0.8060136054421769,0.8703863646302532,0.5733868103606637
