,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7365700909007995,0.8430370159992426,0.8588640275387264,0.4672278844529535,0.5048187517185168,0.7319994588268927,0.8004625850340136,0.7808249879739363,0.45223929949176406
1,KNN,0.8143982002249719,0.8556596926378238,0.8686173264486516,0.47346415901796274,0.5130220050493147,0.9710599782358724,0.8232108843537416,0.8055604145712162,0.5202032943481721
2,KthNN,0.7975861125467424,0.8540818580580013,0.8703384968445209,0.475298909473131,0.5124749531759976,0.9615935764484725,0.8137074829931974,0.8024664363493244,0.508347927254914
3,LOF,0.8391755084668471,0.7505443529300388,0.8835341365461846,0.5047909979916286,0.5219523360445725,0.6748294119940166,0.747673469387755,0.8206859229457296,0.5470632539342355
4,CBLOF,0.33517769738242176,0.3996339423774812,0.25243832472748134,0.4487114514706159,0.5167450628352224,0.7518761049906403,0.4536598639455783,0.3598635588402502,0.5684563100851142
5,uCBLOF,0.7781290852156993,0.8524724667865821,0.7940332759609868,0.4745575013608124,0.5155400924383476,0.7663749580552623,0.7999455782312925,0.8044944680106704,0.48231584103851577
6,LOoP,0.8959961085945338,0.7758843762819906,0.748709122203098,0.5183240422696473,0.5307964901191982,0.65501676897743,0.7531700680272109,0.813541347793764,0.5469218051558387
7,LDCOF,0.726963183656097,0.7684685537568241,0.8129661503155479,0.4420200086341197,0.5253775687362072,0.8420319776233585,0.7101496598639456,0.7666998294485503,0.47792419325209723
8,HBOS,0.673881980968595,0.8285524945564707,0.7900172117039587,0.4831916211498395,0.4985165796695449,0.6917087387991308,0.750312925170068,0.7541763239602921,0.5045073786051069
9,OCSVM,0.8224546256042318,0.5855659692637825,0.4044750430292599,0.5302381890872234,0.5111922171053571,0.7403174219776921,0.5750748299319728,0.5324813049372459,0.4431020758067479
10,Nu-OCSVM,0.8288693643024352,0.6023856858846919,0.582903040734366,0.5656005405709781,0.5199382957625394,0.8168819001800598,0.4766802721088435,0.40822473433331874,0.4431020758067479
11,RED1,0.7347155929833096,0.8422796554009278,0.8519793459552496,0.4780205341892374,0.4933776286611103,0.5403577806501059,0.7923945578231293,0.7719803647177156,0.4004212846733207
12,RED2,0.7287264767579729,0.8425952223168923,0.8600114744693059,0.47719466186159126,0.49340717264264133,0.5384636238164068,0.7948027210884353,0.7928182533782306,0.458347927254914
