,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.017348941124569,0.155011465242289,0.173638872493389,0.017472267039337,0.060782302487322,0.095251291532497,0.165480523624837,0.058346690578299,0.044198040005507,0.091465218607227
1,1,KNN,0.026648126612608,0.164638904997573,0.18598707311628,0.016853902188406,0.078731043576104,0.146432112405346,0.178048771314376,0.035781987224237,0.061644546994873,0.058365942327347
2,2,KthNN,0.026146302692063,0.162824806874885,0.187286940302711,0.016828027926779,0.076961518541889,0.134129909558195,0.173228223543682,0.035243377082615,0.058916677270191,0.055168258181082
3,3,LOF,0.037293027357047,0.227810764569615,0.042465149697676,0.017151590545031,0.052258202407032,0.070297254463584,0.15891087535979,0.037160285635764,0.086649522688731,0.008355257237679
4,4,CBLOF,0.000893597414734,0.116413126049133,0.087857100951229,0.020064260963939,0.036691008792151,0.026993848420078,0.044685012984132,0.019723177909763,0.052608647741349,0.038470687116995
5,5,uCBLOF,0.022910394956681,0.157003913491986,0.186259668674879,0.016594187543281,0.072609739049291,0.10871056043937,0.160847297071696,0.035312028047003,0.048773325147227,0.029522243433395
6,6,LOoP,0.024344977290753,0.204466723138352,0.042047319879301,0.017445672430767,0.055923323378361,0.091239120799674,0.163233275423473,0.045583617378891,0.084501452391566,0
7,7,LDCOF,0.008480943986098,0.165185379262056,0.130336031681323,0.016995775038159,0.141374830261815,0.077752210228129,0.129928031771056,0.047908679607365,0.039237296155289,0.316543758125094
8,8,HBOS,0.015516902923521,0.124515356691783,0.172458358343337,0.017616065609882,0.099858929085875,0.112554316843506,0.221010262088593,0.067533141213742,0.070160663586367,0.011617765868656
9,9,OCSVM,0.09109501284927,0.171871337740894,0.116051944450981,0.345431335982361,0.091146739078939,0.123074442191411,0.243136355078973,0.012823368817572,0.053660252937461,0.080478470385575
10,10,Nu-OCSVM,0.091158252784578,0.170984951100948,0.117659423296186,0.508152173913043,0.091317220002543,0.123122519255126,0.077008513708034,0.014542108707768,0.053660252937461,0.082763377407281
11,11,RED1,0.016852350393925,0.147925359269925,0.184332136859139,0.017498379164825,0.083168354810545,0.100952865904374,0.184779253251458,0.059978497687307,0.031484127072409,0.012389506503837
12,12,RED2,0.024446563688596,0.172058679250877,0.183295060689511,0.017499364033325,0.061743923603509,0.128996299122966,0.195121652328478,0.047405053164712,0.054549598153637,0.075349980999793
