,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.960021889155747,0.605383571586355,0.641422834193918,0.545882838748428,0.62273751408291,0.790335881484109,0.78665306122449,0.465889710062536,0.52594391035454,0.970252879833276
1,1,KNN,0.966892651932022,0.583262330777241,0.749282845668388,0.532218405691011,0.641010913027875,0.856148238626766,0.802965986394558,0.453194013206804,0.697540873185965,0.8870293346722
2,2,KthNN,0.96528136685617,0.579507084477263,0.757314974182444,0.531148525630197,0.636848461748941,0.838207815059441,0.793496598639456,0.454965124415096,0.680930132876125,0.876244398686779
3,3,LOF,0.960629921259842,0.634857521537442,0.709695926563396,0.542260262402162,0.600854072148244,0.794046178576424,0.764517006802721,0.45868500459177,0.750957075500582,0.846544529919624
4,4,CBLOF,0.226066336302557,0.494682697465998,0.772231784279977,0.510858344125983,0.516979419980503,0.457809823514889,0.35065306122449,0.589862028250317,0.572256444798236,0.704931398743769
5,5,uCBLOF,0.960629921259842,0.535485499700211,0.748709122203098,0.526155752013064,0.623083491124419,0.769129182657899,0.781972789115646,0.455962741067915,0.601440205743678,0.717053019444073
6,6,LOoP,0.961389961389961,0.61521348101865,0.603557085484796,0.547384424798694,0.619014651582999,0.804864544931763,0.765578231292517,0.471164778939083,0.716714836813422,0
7,7,LDCOF,0.860122214452923,0.58941588563855,0.608146873207114,0.485528464440565,0.454806147402317,0.764498789367222,0.68312925170068,0.428715507062579,0.481361827199804,0.432978986402734
8,8,HBOS,0.916638798528562,0.501704061346208,0.571428571428571,0.548304146254481,0.566232822085753,0.585574959482084,0.835809523809524,0.508172256964184,0.691366113526422,0.557502941877781
9,9,OCSVM,0.966391025446143,0.527911893717063,0.728341939185313,0.545479287497419,0.624380762052829,0.773397570886925,0.810421768707483,0.469601390650282,0.601092400955239,0.739812062088954
10,10,Nu-OCSVM,0.966451828656553,0.521726782164158,0.740103270223752,0.500591249507292,0.622154613280162,0.757107954607704,0.566646258503401,0.519741876940569,0.601092400955239,0.737281697906897
11,11,RED1,0.950566989937069,0.597715295528417,0.737808376362593,0.541124687951649,0.634181873308265,0.77229461219367,0.818380952380952,0.457050553198933,0.462799583613986,0.695410244865971
12,12,RED2,0.968564740218283,0.643409384960081,0.728055077452668,0.543527225632074,0.625467542574579,0.81833532196615,0.82912925170068,0.502847990554074,0.653212907966444,0.860821557544592
